ds,y
2017-01-01,3.4286333237052
2017-01-02,11.5551469771369
2017-01-03,40.9394649721154
2017-01-04,41.815717555047
2017-01-05,42.3545226298131
2017-01-06,36.9178683315929
2017-01-07,6.78644433088186
2017-01-08,3.64110027329082
2017-01-09,45.2651809718488
2017-01-10,43.9973226387006
2017-01-11,43.2043904281556
2017-01-12,42.9877574599507
2017-01-13,38.4009709600729
2017-01-14,6.95725109427422
2017-01-15,3.70636789832693
2017-01-16,45.280456373453
2017-01-17,43.8709534072478
2017-01-18,42.3073077521274
2017-01-19,42.7919545848424
2017-01-20,38.977270202413
2017-01-21,7.32941542426734
2017-01-22,3.79940898082521
2017-01-23,48.1522318750417
2017-01-24,46.3872286533206
2017-01-25,43.0835758881952
2017-01-26,44.0250960961628
2017-01-27,39.5827315750883
2017-01-28,6.8558779745373
2017-01-29,4.05909080809652
2017-01-30,48.82157219988
2017-01-31,45.4026595862866
2017-02-01,44.6659779709695
2017-02-02,44.3876378199181
2017-02-03,39.7791003935536
2017-02-04,7.65920087296334
2017-02-05,4.20418258006088
2017-02-06,48.1611547931282
2017-02-07,46.2460083806696
2017-02-08,45.4109879275152
2017-02-09,45.7239475003393
2017-02-10,40.9616998413046
2017-02-11,7.52072318587306
2017-02-12,4.37312535831102
2017-02-13,50.0416817838142
2017-02-14,42.7203664673511
2017-02-15,44.5233459532666
2017-02-16,45.1548042063982
2017-02-17,40.6473554916096
2017-02-18,7.65089221173792
2017-02-19,3.99092694194184
2017-02-20,47.7748020461463
2017-02-21,45.75579736837
2017-02-22,44.6064325655207
2017-02-23,44.1909995042499
2017-02-24,39.7791003935536
2017-02-25,7.57334470696737
2017-02-26,4.32465816782942
2017-02-27,48.818923806807
2017-02-28,45.6436304418269
2017-03-01,43.624626965177
2017-03-02,42.8974582084156
2017-03-03,39.1736393765318
2017-03-04,7.32942119291416
2017-03-05,4.11833193810406
2017-03-06,47.1848671920427
2017-03-07,44.6143462560431
2017-03-08,42.8356007527365
2017-03-09,44.0301369524069
2017-03-10,38.6540367488271
2017-03-11,7.52049200045637
2017-03-12,3.82691459134903
2017-03-13,40.8286699684802
2017-03-14,38.2911396755095
2017-03-15,35.8690766331399
2017-03-16,36.2086053343121
2017-03-17,33.0456274339191
2017-03-18,6.47303908428972
2017-03-19,3.97949631535756
2017-03-20,48.0110078778906
2017-03-21,45.1834348482912
2017-03-22,44.1497280333865
2017-03-23,43.1888755551707
2017-03-24,39.3963262169767
2017-03-25,6.74658649940411
2017-03-26,3.81591771033941
2017-03-27,46.9649295718502
2017-03-28,44.281690605502
2017-03-29,42.6005424211558
2017-03-30,42.3819794110895
2017-03-31,37.8993757895417
2017-04-01,7.22203814632979
2017-04-02,3.62133037834241
2017-04-03,45.8055672798914
2017-04-04,43.2566126400103
2017-04-05,41.8226537999909
2017-04-06,42.6874285942117
2017-04-07,38.4020501624374
2017-04-08,6.89345122133973
2017-04-09,3.73681699633055
2017-04-10,45.5965914949605
2017-04-11,43.6621906436592
2017-04-12,43.497209760819
2017-04-13,43.0352632888664
2017-04-14,31.2006346264627
2017-04-15,6.33389106037338
2017-04-16,2.77030399102504
2017-04-17,46.6964640472285
2017-04-18,43.9275348968938
2017-04-19,43.5714511580971
2017-04-20,42.8125390970321
2017-04-21,37.8534887269938
2017-04-22,7.02406108692155
2017-04-23,3.86880170260271
2017-04-24,45.8495621819822
2017-04-25,44.2987418832843
2017-04-26,42.1017464601289
2017-04-27,41.5985547674663
2017-04-28,37.6018928806625
2017-04-29,6.80821109853896
2017-04-30,3.72581827080787
2017-05-01,45.1400003571964
2017-05-02,43.5944392773094
2017-05-03,41.7974669284275
2017-05-04,41.1407751984844
2017-05-05,36.2485591936155
2017-05-06,6.54218832215263
2017-05-07,3.62142133918403
2017-05-08,45.0383367839415
2017-05-09,42.767392370561
2017-05-10,41.6655790496105
2017-05-11,41.3647098260591
2017-05-12,35.9312039852121
2017-05-13,6.48586120724119
2017-05-14,3.53074842249732
2017-05-15,45.4999443598011
2017-05-16,43.3306635196753
2017-05-17,42.246710015648
2017-05-18,41.353719169491
2017-05-19,36.6744471356288
2017-05-20,6.74139397244917
2017-05-21,3.56234656013057
2017-05-22,44.2978412976668
2017-05-23,42.6258876672469
2017-05-24,41.605130438486
2017-05-25,41.0267471365905
2017-05-26,36.0397367188219
2017-05-27,6.02837512759465
2017-05-28,3.58432787326674
2017-05-29,4.24926259563589
2017-05-30,44.2428880148264
2017-05-31,42.8429531344666
2017-06-01,41.0063801941324
2017-06-02,35.9472134365798
2017-06-03,6.61331661031737
2017-06-04,3.55273203184644
2017-06-05,43.1958228814484
2017-06-06,43.0335914494492
2017-06-07,41.190424255644
2017-06-08,40.2402115825063
2017-06-09,35.8804122586978
2017-06-10,6.71692660050169
2017-06-11,3.48320427527538
2017-06-12,43.5857236339841
2017-06-13,41.2899443777947
2017-06-14,41.2313229359799
2017-06-15,41.0295561129894
2017-06-16,36.6247682408114
2017-06-17,6.56560148325881
2017-06-18,3.34823863016687
2017-06-19,44.3955175046352
2017-06-20,42.0070345730178
2017-06-21,40.8945904678809
2017-06-22,40.5851237866725
2017-06-23,35.865416075908
2017-06-24,6.18797033482386
2017-06-25,3.6849710982659
2017-06-26,43.4084960191951
2017-06-27,42.1392736394372
2017-06-28,41.3322063474752
2017-06-29,40.8877740211583
2017-06-30,35.7454466135893
2017-07-01,5.89945968202635
2017-07-02,3.20400514276911
2017-07-03,30.8961534214003
2017-07-04,3.30489721960524
2017-07-05,38.8011839821557
2017-07-06,40.5654319203443
